D1-Memory D1-Naive D2-Memory D3-Memory D3-Naive D4-Memory D4-Naive
TRIM28 742 533 1005 563 512 1012 621
CHMP2A 4483 4546 5497 4219 5648 5938 6956
UBE2M 1050 734 1290 854 725 1536 1314
MZF1-AS1 126 104 162 97 82 200 181
MZF1 240 288 261 212 312 254 346
RPS4Y1 9880 15191 12674 9937 20491 14004 17899
RP11-414C23.1 9 20 11 10 32 13 23
ZFY 312 367 392 331 422 481 560
TTTY15 497 456 586 535 467 655 694
USP9Y 210 192 245 214 195 262 277
DDX3Y 973 2502 875 1011 3735 1094 2830
UTY 373 526 275 340 718 334 734
TMSB4Y 53 51 57 49 46 73 67
TTTY14 17 102 18 31 159 16 98
KDM5D 176 211 170 189 315 139 310
EIF1AY 4674 4494 6312 4169 4674 6381 7061
RPS4Y2 26 45 41 32 39 13 37
TPTEP1 89 58 62 41 60 50 46
CECR7 7 9 9 2 4 30 23
IL17RA 216 236 200 172 332 242 247
CECR5 931 1385 947 906 1868 1330 2014
CECR1 45 5 15 20 2 22 4
ATP6V1E1 2960 2508 3868 2541 3111 4185 3515
BCL2L13 873 872 868 832 1234 1226 1217
BID 600 437 605 511 533 808 720
LINC00528 63 51 34 52 63 67 84
MICAL3 152 57 196 126 75 215 68
XXbac-B476C20.9 38 13 56 24 14 58 25
PEX26 477 330 620 471 308 739 488
AC008079.10 80 45 90 68 55 126 67
USP18 6893 2465 8250 6690 1815 13371 6946
TMEM191B 45 106 65 60 273 74 171
DGCR6 10 58 39 17 148 20 120
DGCR2 180 95 195 174 122 235 171
DGCR14 429 403 427 354 632 476 549
LINC01311 15 23 17 13 17 20 37
SLC25A1 895 673 1075 483 637 1049 1029
HIRA 246 119 292 206 126 364 161
C22orf39 1173 1153 1337 1044 1273 1387 1508
MRPL40 2963 2454 3365 2621 2839 4226 3561
AC000068.5 20 26 24 26 33 33 43
UFD1L 2609 1460 3888 2375 1478 3756 1999
CDC45 1246 547 1718 1317 519 2049 947
GNB1L 458 588 621 511 724 480 674
C22orf29 177 195 249 186 248 226 258
TXNRD2 316 326 405 248 351 541 531
COMT 2566 1481 3418 2381 1512 4106 2802
TANGO2 283 122 316 215 120 360 158
DGCR8 234 173 246 229 224 282 239
TRMT2A 620 481 803 553 547 798 628
RANBP1 11407 6855 15892 8711 5961 17579 11507
ZDHHC8 86 72 119 87 63 159 109
RTN4R 18 20 27 28 36 53 51
DGCR6L 1129 1241 1747 1141 1511 1693 1592
ZNF74 64 73 70 83 118 70 101
KLHL22 271 194 371 328 194 375 180
MED15 639 882 684 655 1214 812 1269
PI4KA 137 98 215 130 102 192 166
SNAP29 1062 906 1561 907 1011 1146 1185
CRKL 312 381 328 266 509 377 556
LZTR1 87 48 116 99 60 119 101
XXbac-B135H6.18 14 10 25 9 8 35 26
THAP7 869 604 1044 675 666 1084 895
THAP7-AS1 106 50 104 94 56 84 39
HIC2 57 66 63 45 78 81 121
TMEM191C 30 81 65 63 238 88 169
UBE2L3 7651 5598 10319 6670 5940 11107 9144
YDJC 1513 988 2053 1228 1016 2414 1621
SDF2L1 2905 1331 3656 2861 1084 3444 1800
PPIL2 352 376 389 350 389 376 508
YPEL1 102 158 95 78 191 115 181
MAPK1 805 1251 1066 828 1605 1221 1353
PPM1F 140 116 152 121 128 162 166
LL22NC03-86G7.1 81 71 85 73 127 81 92
TOP3B 129 125 171 135 157 171 169
CH17-264L24.1 59 46 45 51 44 38 29
LL22NC03-2H8.5 86 132 100 76 99 70 66
ZNF280B 149 89 175 133 117 175 115
BCR 95 71 107 77 55 58 90
RGL4 1200 2855 2512 1156 3604 2140 5209
ZNF70 27 20 27 32 26 17 40
C22orf15 53 25 39 37 27 44 39
CHCHD10 3403 3045 5043 3152 3312 4409 4821
SMARCB1 1807 1873 2405 1428 1817 2323 2064
DERL3 179 111 168 141 92 111 114
KB-1125A3.11 13 19 12 16 41 11 31
SLC2A11 109 155 90 82 213 118 143
MIF 14374 24162 14800 11245 31607 16587 29260
MIF-AS1 122 232 104 93 260 141 299
AP000350.5 15 5 18 13 11 29 27
DDTL 37 28 29 25 22 4 2
DDT 4963 7993 7331 5033 11459 7040 10811
CABIN1 584 800 639 582 1020 889 1475
SPECC1L 153 105 187 130 158 176 153
ADORA2A-AS1 20 46 9 26 78 14 53
GUCD1 581 427 736 524 421 838 550
SNRPD3 4193 3921 5386 3653 4523 6204 6094
GGT1 250 178 193 232 193 217 166
KIAA1671 79 73 134 169 133 122 165
CTA-243E7.1 20 58 32 49 123 23 52
LRP5L 25 67 48 40 98 33 66
ADRBK2 227 444 345 246 418 269 580
ASPHD2 238 205 249 218 289 462 350
HPS4 721 951 698 672 1278 942 1776
SRRD 374 290 379 294 261 546 487
TFIP11 537 433 546 471 532 663 586
CTA-445C9.14 43 39 50 31 26 59 53
TPST2 615 255 583 481 325 548 430
MIAT 1787 589 1407 1072 525 1179 2227
CTA-373H7.7 3 7 14 6 5 14 13
MIATNB 47 60 63 86 149 59 64
PITPNB 1806 1121 2105 1607 1177 2499 1551
TTC28 68 66 33 74 102 64 120
CHEK2 310 341 340 327 365 423 577
HSCB 844 763 1078 901 981 1515 1696
CCDC117 294 283 435 351 368 637 538
XBP1 3404 3219 3223 3539 3714 4130 4053
CTA-292E10.6 163 125 147 152 142 186 160
ZNRF3 9 7 7 5 13 7 10
RHBDD3 340 154 503 359 188 510 254
EWSR1 3721 2479 4583 3146 2651 4902 3481
AP1B1 382 190 553 317 168 541 283
THOC5 467 420 617 477 553 675 606
NIPSNAP1 867 834 1070 947 1166 1273 1792
NF2 377 249 511 298 318 479 403
ZMAT5 722 698 793 589 965 838 1094
UQCR10 7434 6807 10096 6567 7933 9442 10786
ASCC2 1032 938 1132 902 1208 1297 1362
MTMR3 109 183 143 130 210 141 219
RP3-394A18.1 31 45 64 75 125 73 101
OSM 1623 960 2971 1332 741 2733 1276
GATSL3 57 59 61 50 52 70 52
TBC1D10A 462 447 591 487 539 653 636
SF3A1 821 976 987 756 1303 1140 1368
CCDC157 52 30 92 64 29 99 49
RNF215 28 32 49 37 36 62 34
SEC14L2 127 210 171 166 326 178 318
MTFP1 616 1136 599 522 1453 747 1419
RP4-539M6.22 12 20 10 11 29 10 30
PES1 992 646 1219 795 738 1584 1175
SLC35E4 713 242 711 484 284 815 596
DUSP18 299 167 403 241 184 468 291
OSBP2 123 56 157 59 65 118 96
MORC2-AS1 127 33 126 97 50 160 53
MORC2 158 119 178 126 187 225 179
TUG1 359 240 445 285 277 469 338
SMTN 107 114 191 109 93 161 136
SELM 755 392 727 926 685 869 767
RNF185 197 227 224 233 322 259 328
LIMK2 365 340 514 368 367 622 576
PIK3IP1 1271 2978 1520 1675 4511 1333 3766
PIK3IP1-AS1 8 21 21 15 30 21 17
PATZ1 165 194 200 183 315 255 267
LINC01521 28 28 35 26 28 55 28
DRG1 1568 1427 2008 1474 1634 2130 2135
EIF4ENIF1 267 210 366 242 254 423 272
SFI1 1052 790 907 807 834 1450 1463
PISD 354 279 441 385 352 589 503
PRR14L 626 334 677 523 449 799 526
DEPDC5 86 82 105 73 111 110 137
YWHAH 4793 3328 6067 3673 3255 6569 3555
RTCB 2606 1786 2977 2276 1919 4314 2419
FBXO7 2151 2185 2602 2031 3037 3563 2767
RP3-323A16.1 40 29 45 35 31 33 25
HMGXB4 1520 2059 1842 1492 2539 2104 2840
TOM1 428 509 553 437 797 718 816
MCM5 2726 1738 3125 2218 1467 4037 2609
APOL6 1145 855 1435 1235 967 1635 1556
CTA-212A2.4 6 14 4 10 29 3 25
APOL3 1017 621 1533 1232 832 2034 1331
APOL2 1639 498 2334 1489 493 3870 1295
APOL1 1091 217 1292 929 185 1791 537
MYH9 2909 2441 3812 2501 2627 4026 3643
TXN2 3035 3797 4129 2790 4975 4268 5150
FOXRED2 60 30 124 77 47 91 75
EIF3D 5987 7140 6664 4749 9432 7693 7938
IFT27 707 364 800 580 339 727 514
NCF4 1095 774 798 731 580 857 581
MPST 1124 742 1366 966 882 1060 792
KCTD17 453 222 554 386 231 592 342
IL2RB 2140 1701 2434 1968 2052 2306 2047
C1QTNF6 63 56 85 85 113 79 83
SSTR3 156 190 191 204 287 389 444
RAC2 11738 15957 12957 11063 18906 14025 19721
CYTH4 571 648 449 378 685 394 932
MFNG 1437 1097 1888 1250 1188 1942 1730
GGA1 818 609 800 698 741 906 834
SH3BP1 1142 840 1368 982 932 1483 1103
LGALS1 87196 81951 85955 76004 94934 124426 131666
NOL12 340 356 446 334 464 499 532
TRIOBP 422 180 518 341 195 627 325
H1F0 1190 619 984 1066 657 1857 1513
GCAT 346 293 501 278 229 529 561
ANKRD54 406 312 522 398 395 616 521
EIF3L 4341 8575 5830 3799 12122 5649 8770
MICALL1 146 50 165 127 51 185 64
POLR2F 2831 1984 3974 2442 2281 3807 3221
PICK1 164 107 261 178 136 269 174
PLA2G6 120 101 72 71 130 95 143
CTA-228A9.4 38 49 34 29 60 41 83
MAFF 244 229 160 220 319 312 413
TMEM184B 187 121 228 162 159 227 167
CSNK1E 418 246 443 321 275 527 444
DDX17 4503 4981 4208 4048 5060 4390 7243
DMC1 290 259 271 222 337 391 509
FAM227A 12 13 13 11 9 19 12
CBY1 271 175 276 216 194 385 224
TOMM22 3171 3411 4974 2409 3999 4973 4665
JOSD1 792 1327 847 803 1948 1326 1840
GTPBP1 551 386 548 484 356 852 644
RP3-508I15.18 11 4 11 4 2 7 13
SUN2 1124 1033 1252 960 1050 1194 1032
RP3-508I15.22 14 4 18 8 2 36 10
DNAL4 219 207 230 169 228 287 294
CBX6 1909 1369 2683 1991 1793 3049 2326
APOBEC3A 21 5 39 65 6 50 20
APOBEC3C 5880 3125 6244 4300 2956 7702 6720
APOBEC3D 605 307 687 507 307 831 515
APOBEC3F 329 177 474 291 204 504 338
APOBEC3G 8333 2684 7416 5034 2532 9194 4808
APOBEC3H 6393 3166 5230 4109 2276 8044 6177
CBX7 396 331 371 342 443 398 485
RP4-742C19.13 25 53 28 29 83 28 78
PDGFB 27 8 18 17 13 7 4
RPL3 90817 178158 105337 85663 267538 118855 204531
TAB1 131 149 127 136 196 181 226
MIEF1 410 453 466 415 575 597 549
ATF4 8676 11623 9843 7917 16848 13476 15647
RPS19BP1 3291 3911 4497 3083 5262 4749 5765
GRAP2 2322 2319 2867 2250 2912 2009 2431
FAM83F 2 23 3 8 84 5 40
TNRC6B 1765 2275 1961 1925 2735 2152 2857
ADSL 1767 967 2583 1572 1057 2626 1404
SGSM3 492 413 612 493 466 578 590
RP5-1042K10.10 33 31 57 57 101 71 113
MKL1 209 281 301 236 326 341 349
SLC25A17 543 301 728 479 417 727 508
ST13 5884 7954 6787 5757 11299 7408 10183
XPNPEP3 232 193 232 222 289 326 338
RBX1 12954 11133 15046 10585 10792 17561 17482
EP300 474 452 485 452 608 570 685
L3MBTL2 363 186 529 329 192 456 249
RP4-756G23.5 40 25 81 85 28 140 123
RANGAP1 1147 992 1696 925 910 2060 1457
ZC3H7B 277 167 312 194 175 364 253
TEF 16 16 11 14 13 9 12
TOB2 809 582 939 718 730 1372 1025
PHF5A 1878 1668 2830 1765 1919 2889 2233
ACO2 1512 1331 1942 1329 1379 2010 1875
POLR3H 489 253 777 439 316 750 459
PMM1 1520 1591 1637 1231 1813 2000 2365
DESI1 3241 1782 4699 2971 2147 5578 3117
XRCC6 7886 5114 10013 6312 4683 10564 7489
SNU13 9611 9163 11826 8727 10386 13943 13859
C22orf46 395 293 410 317 312 529 447
MEI1 1135 796 1166 1009 822 1499 1200
CCDC134 64 35 121 58 43 78 42
RP5-821D11.7 186 214 144 157 300 205 305
SREBF2 506 571 611 516 852 644 1125
TNFRSF13C 26 8 34 17 21 27 18
CENPM 2293 1562 3579 2058 1498 3196 2790
WBP2NL 58 36 29 52 36 28 27
NAGA 614 211 832 463 176 844 363
FAM109B 95 24 95 73 15 160 44
SMDT1 2781 2303 4479 3515 5145 4630 4578
NDUFA6 5383 3721 6801 4262 3525 6958 5536
CYP2D6 6 5 9 10 5 12 11
TCF20 401 270 454 390 308 544 394
Z83851.4 24 8 56 29 9 75 16
RRP7A 1763 928 3637 1139 712 2573 1753
SERHL2 37 18 57 52 17 66 47
POLDIP3 570 558 648 548 783 827 975
RNU12 158 74 193 140 69 180 118
CYB5R3 1249 909 1500 953 887 1814 1322
ATP5L2 161 152 237 134 214 210 221
ARFGAP3 1298 1172 1251 1215 1377 1361 1432
PACSIN2 575 406 468 384 466 487 431
TTLL1 115 64 177 101 82 144 117
BIK 170 63 481 151 78 403 86
MCAT 401 140 546 273 160 648 296
TSPO 11827 8524 14407 8623 7186 18351 14092
TTLL12 435 219 499 384 217 614 330
SAMM50 1089 588 1587 921 614 1479 735
PARVB 1254 1030 1660 1269 1073 2158 1702
PARVG 1069 763 1098 1054 655 1114 1078
RP4-671O14.7 5 3 2 10 16 8 12
LDOC1L 42 34 67 40 45 78 55
PRR5 356 238 375 355 273 1156 747
NUP50-AS1 209 92 285 235 80 261 116
NUP50 1158 1266 1456 973 1341 1555 1457
KIAA0930 70 34 82 64 49 130 64
FAM118A 675 1165 773 674 1644 3131 3341
ATXN10 1414 1089 1749 1242 1243 1758 1303
CITF22-92A6.1 88 92 67 98 154 136 247
PRR34 18 15 24 19 15 33 16
PRR34-AS1 412 327 515 347 437 663 552
MIRLET7BHG 40 17 49 33 42 47 33
PPARA 211 104 202 180 138 219 138
CDPF1 228 169 214 196 200 239 246
TTC38 226 107 250 193 100 320 187
GTSE1-AS1 7 11 11 8 7 12 10
GTSE1 1163 1026 1796 957 907 1561 1140
TRMU 627 606 751 564 693 904 1067
GRAMD4 106 51 138 106 102 152 146
CERK 481 444 312 422 498 369 434
CTA-29F11.1 181 516 213 147 569 315 798
TBC1D22A 1161 920 1122 908 1038 1486 1184
C22orf34 107 141 85 14 52 14 38
RP1-29C18.10 169 146 133 49 77 32 92
BRD1 162 179 169 142 235 211 260
RP3-522J7.7 6 9 6 3 20 5 10
RP3-522J7.6 8 7 8 15 13 22 20
ZBED4 232 179 270 237 162 311 216
ALG12 250 278 299 245 335 289 356
CRELD2 1426 666 1705 1354 631 1429 875
PIM3 2389 4196 2544 2679 5349 3280 5421
TRABD 3954 2895 4896 3600 2967 3985 3228
RP3-402G11.26 11 11 25 13 13 50 28
SELO 118 117 139 118 160 168 153
TUBGCP6 113 111 129 118 130 134 166
HDAC10 488 407 525 446 522 587 631
DENND6B 339 483 469 366 875 661 957
PPP6R2 440 309 571 437 357 527 502
SBF1 226 189 248 192 229 221 245
ADM2 128 140 120 129 147 202 299
MIOX 7 6 5 6 12 12 10
LMF2 729 356 931 635 382 964 448
NCAPH2 1072 964 1400 968 1165 1428 1324
SCO2 1511 1018 2240 1589 1554 2311 1523
CTA-384D8.36 49 15 75 46 13 94 34
TYMP 9792 3375 14605 10120 4947 15427 6979
KLHDC7B 647 324 794 585 408 1154 656
CPT1B 12 10 14 10 5 15 16
CHKB 133 126 127 104 107 150 110
CHKB-AS1 57 24 85 72 53 110 75
ARSA 184 72 490 296 248 388 206
RABL2B 238 109 284 210 123 362 249
CH507-9B2.3 1 1 84 33 25 111 52
CH507-9B2.5 6 1 118 51 27 66 52
CH507-9B2.9 18 4 27 21 18 30 20
U2AF1L5 28 22 28 21 11 41 29
SMIM11B 3 3 11 5 8 8 12
bP-21264C1.2 11 7 24 14 29 9 10
RBM11 72 106 95 117 119 198 252
HSPA13 616 636 688 567 666 766 872
SAMSN1 4566 7784 4946 3898 7684 5807 10215
NRIP1 146 351 139 133 494 231 396
USP25 337 378 428 321 559 574 627
CXADR 9 8 9 21 28 11 10
BTG3 2176 2001 2173 1765 2893 2542 2500
C21orf91 343 284 404 324 500 368 337
AP000476.1 32 28 32 17 26 35 31
MIR155HG 5541 3092 4461 4407 3077 7401 3449
MRPL39 1513 1173 1866 1229 1484 2659 1993
ATP5J 10330 8643 13894 8917 8955 13610 13368
GABPA 361 309 408 333 430 470 462
APP 398 545 651 489 708 614 776
N6AMT1 154 138 269 183 147 233 243
LTN1 1023 1289 1060 1008 1668 1229 2253
RWDD2B 287 227 438 280 208 507 348
RP1-100J12.1 7 9 7 4 14 5 17
USP16 2148 2280 2562 1973 2621 2615 3090
CCT8 8933 10613 10959 7826 14379 12689 14631
MAP3K7CL 115 156 55 63 94 105 210
BACH1 491 555 400 479 638 558 763
TIAM1 352 808 402 460 1177 697 923
SOD1 13474 10340 16453 10280 11021 15684 13636
AP000254.8 6 6 7 10 2 13 4
SCAF4 477 510 585 437 670 577 626
MIS18A 839 726 1106 795 652 1148 1117
URB1 114 62 179 115 80 199 131
URB1-AS1 257 213 268 232 247 372 307
EVA1C 283 415 362 243 481 515 912
TCP10L 29 35 31 34 28 16 47
C21orf59 1263 907 1695 1094 953 1782 1364
SYNJ1 119 92 128 125 131 170 150
PAXBP1-AS1 16 16 15 18 18 23 15
PAXBP1 765 850 882 783 1138 1068 1411
C21orf62-AS1 68 53 35 41 72 60 67
C21orf62 18 18 13 13 17 13 19
IFNAR2 895 1274 1074 805 1918 1057 1222
IL10RB-AS1 9 23 16 16 37 13 28
IL10RB 934 797 1013 956 992 1162 1001
IFNAR1 1013 1176 1132 984 1427 1450 1952
IFNGR2 288 492 335 357 856 474 546
TMEM50B 884 535 1211 800 564 1114 561
DNAJC28 9 6 18 14 21 18 13
GART 1799 1000 2243 1607 859 2742 1701
SON 6210 4507 7057 5225 4759 7757 6140
DONSON 584 324 749 508 307 733 466
CRYZL1 952 842 1044 885 1037 1091 1332
ITSN1 95 54 143 97 89 174 97
ATP5O 8649 9364 11186 7524 11290 11891 13187
LINC00649 745 734 592 652 904 630 751
MRPS6 4948 6091 5213 4025 6958 5344 6620
SLC5A3 654 856 569 615 1165 560 1108
SMIM11A 8 11 13 8 16 11 14
RCAN1 42 28 92 40 24 93 33
RUNX1 992 741 1001 896 1048 1011 1270
SETD4 283 262 377 256 343 415 373
CBR1 2825 2307 2971 2218 2250 3873 3103
CBR3 1986 1553 2579 1609 1560 3949 2837
DOPEY2 112 53 138 99 63 182 81
AP000692.10 83 59 167 87 75 264 127
MORC3 1100 1096 1343 1126 1779 1415 1923
CHAF1B 420 256 492 339 241 610 382
HLCS 265 124 306 213 80 304 133
PIGP 1771 1808 1448 1374 2074 2403 2466
TTC3 2333 2723 2309 2238 3672 2478 3425
DSCR3 843 1159 991 811 1587 1261 1610
AP001412.1 9 18 13 5 14 12 21
DYRK1A 288 329 306 240 455 325 400
KCNJ15 9 31 10 11 45 12 93
ETS2 3332 1331 3499 1790 1404 6548 2297
PSMG1 2456 1297 3429 2116 1244 4123 2187
BRWD1 1026 996 962 966 1391 973 1276
AF129408.17 3 4 7 4 16 6 16
BRWD1-AS2 25 25 23 23 14 22 15
HMGN1 13870 11262 18875 12052 12363 19023 16835
WRB 664 355 773 601 481 680 528
SH3BGR 71 64 61 72 88 89 99
BACE2 11 4 12 11 10 17 8
MX2 2912 759 3428 2632 549 5250 2771
MX1 24278 8953 26402 21301 6506 42567 25488
PRDM15 64 42 52 53 53 64 63
C2CD2 42 130 61 64 155 54 169
ZBTB21 279 401 322 306 495 398 648
ABCG1 454 738 488 410 799 605 927
TMPRSS3 333 266 175 224 219 365 399
UBASH3A 505 712 519 580 718 461 491
SLC37A1 129 145 162 140 178 210 222
PDE9A 55 41 49 99 68 20 36
WDR4 350 165 691 286 100 706 384
NDUFV3 1230 1001 1476 1152 1031 1503 1538
PKNOX1 470 362 572 424 426 615 530
U2AF1 469 465 498 342 662 493 599
AP001046.5 36 89 26 30 145 56 147
RRP1B 1474 988 2505 1496 1120 2308 1440
PDXK 1360 1362 1921 1388 1529 2409 2201
CSTB 7274 7288 11121 5414 6667 9233 8297
RRP1 993 649 1358 783 669 1452 1146
AGPAT3 537 344 715 451 437 821 564
TRAPPC10 437 305 644 491 302 612 454
PWP2 104 61 4 40 28 51 42
C21orf33 587 505 36 264 267 34 27
AP001055.6 74 216 107 127 455 92 378
ICOSLG 13 19 15 21 37 15 23
PFKL 2342 2212 2399 1831 2042 3003 2823
C21orf2 238 130 319 168 141 324 189
AP001062.7 10 9 10 8 10 22 11
UBE2G2 901 652 1026 805 694 1020 877
SUMO3 3078 2746 3976 2794 3053 3784 3831
PTTG1IP 1115 3194 1072 1251 5763 1466 4162
ITGB2 2455 2595 2223 1709 2327 2127 2281
ITGB2-AS1 93 110 112 77 97 105 90
LINC01547 42 16 67 38 23 108 32
FAM207A 2193 2725 2766 1962 3240 2860 3980
AP001505.10 30 18 44 21 31 83 72
ADARB1 269 270 240 229 236 254 464
POFUT2 129 113 98 101 157 124 156
LINC00205 28 19 14 24 10 34 17
COL18A1 162 184 219 395 483 100 214
SLC19A1 324 179 481 237 170 421 263
AL133493.2 25 9 28 20 5 28 29
PCBP3 189 226 290 200 184 254 306
RP1-101D8.1 18 11 45 16 12 29 21
COL6A1 10 51 7 19 95 24 89
COL6A2 100 271 58 104 311 103 364
SPATC1L 416 618 84 231 519 160 340
LSS 118 52 173 143 74 143 90
MCM3AP-AS1 54 43 51 43 80 40 75
MCM3AP 463 315 465 376 427 554 519
AP001469.9 23 20 21 17 16 28 27
YBEY 716 1040 570 520 901 739 1037
C21orf58 493 318 562 374 285 494 393
PCNT 756 567 1005 718 582 956 812
DIP2A 316 253 349 358 463 338 400
PRMT2 3055 3087 3449 2957 4144 4125 5080
MT-ND1 48852 50942 58676 43676 52143 78423 73483
MT-ND2 61872 63469 69563 54269 70471 81932 68526
MT-CO1 178293 209487 249753 187214 227615 228513 203586
MT-CO2 146264 131893 182950 132176 120577 178264 126931
MT-ATP8 168 151 187 124 150 302 228
MT-ATP6 61522 58648 84481 56490 54031 80812 55029
MT-CO3 124050 107580 168768 119106 118661 179594 107753
MT-ND3 34128 33020 45953 33997 35574 45460 36718
MT-ND4L 3846 4508 3572 3554 4314 3432 3048
MT-ND4 117616 162037 140656 107430 159880 145787 148004
MT-ND5 22994 20483 27341 18317 18005 27939 16314
MT-ND6 5565 8602 7346 4894 9533 9003 14314
MT-CYB 50948 37558 61722 40235 37186 51062 31247
AC145212.4 10 17 5 2 2 8 8
AC145212.2 39 55 30 18 32 21 24
AC011043.1 9 5 77 15 14 1 1
AL592183.1 103 222 199 122 237 168 452
AC007325.4 21 25 28 31 83 30 46
AL354822.1 34 49 59 44 57 65 79
AC004556.1 20 15 41 13 20 26 20
AC240274.1 36 28 50 38 41 32 31
HES4 472 187 523 532 169 1346 609
RP11-54O7.18 3 15 6 4 13 8 29
FAM132A 16 29 16 19 62 23 35
VWA1 20 36 21 44 53 42 141
TMEM52 15 7 27 8 14 18 22
UTS2 13 9 26 14 13 15 4
TNFRSF9 868 375 885 785 647 609 486
ERRFI1 10 10 11 17 21 17 12
RP3-510D11.2 26 17 36 35 24 30 28
APITD1-CORT 41 33 52 34 35 60 40
RP4-635E18.6 28 7 44 31 13 68 24
TNFRSF8 679 71 717 543 82 1077 497
RP11-474O21.5 0 49 4 2 92 3 19
PLA2G2C 3 9 6 3 14 4 18
UBXN10 25 5 35 17 12 49 21
RAP1GAP 12 23 9 8 78 19 31
RP1-224A6.3 17 14 9 13 14 14 18
E2F2 90 58 111 91 33 67 76
GRHL3 1 1 6 7 3 23 3
RP3-465N24.6 14 6 8 2 15 16 23
AUNIP 127 86 228 135 110 262 131
SFN 60 14 113 68 11 163 46
RP11-288L9.1 29 17 32 37 12 43 26
SMPDL3B 16 7 13 16 7 12 11
SPOCD1 16 1 24 24 1 42 27
KIAA1522 1 34 1 5 131 1 22
TMEM54 102 9 189 123 25 238 25
GJA4 3 8 2 1 7 27 86
TFAP2E 10 8 8 7 7 18 7
RP4-665N4.8 22 5 22 30 7 38 15
RP11-268J15.5 36 93 15 37 104 58 118
CSF3R 6 50 10 10 100 23 134
MANEAL 8 1 19 9 1 10 1
OXCT2 68 41 83 54 60 74 75
RIMKLA 485 2009 237 460 2476 668 2944
ZMYND12 14 23 13 21 25 27 43
CFAP57 94 143 164 105 226 178 114
CDC20 1427 1772 2403 1240 1687 2274 1704
B4GALT2 121 38 182 94 38 188 92
KIF2C 1105 1277 1500 894 1412 1400 1722
BTBD19 63 41 53 67 26 85 78
RAD54L 390 245 489 226 196 476 377
LINC00853 18 7 26 9 4 37 34
RP11-191G24.1 19 4 15 9 6 30 9
RP4-784A16.5 20 15 24 30 28 31 26
RP5-997D24.3 3 23 6 11 56 8 22
RP4-794H19.1 29 7 21 15 13 16 6
CYP2J2 56 34 86 80 31 176 95
RP11-430G17.3 13 14 12 18 42 22 29
FOXD3-AS1 6 6 11 5 6 8 16
AK4 1508 2566 829 1279 3549 1815 3365
DNAJC6 33 21 24 22 16 32 24
IL23R 185 86 276 194 56 554 566
GNG12 13 6 15 16 3 34 16
DEPDC1 567 666 998 527 802 814 606
RP11-42O15.3 10 3 14 5 4 14 13
NEXN 285 117 330 317 72 1290 372
WDR63 6 2 11 7 4 5 6
PKN2-AS1 11 16 16 21 11 19 25
EPHX4 43 35 42 37 41 49 107
BCAR3 268 98 386 284 47 543 220
ABCA4 28 1 6 35 0 28 2
ARHGAP29 23 13 18 24 16 44 33
TMEM56 5 41 4 14 82 4 54
TMEM56-RWDD3 15 16 20 19 22 30 27
FRRS1 7 10 8 11 31 16 21
SORT1 6 12 11 14 17 13 12
CSF1 301 75 438 783 111 465 106
PIFO 11 14 13 8 25 24 17
TMIGD3 11 2 17 13 3 29 6
LINC01160 54 22 44 49 11 59 16
CTTNBP2NL 138 91 221 142 92 398 180
PPM1J 17 11 13 27 20 32 46
IGSF3 29 33 25 39 40 95 54
PTGFRN 38 80 70 42 117 73 114
RP11-27K13.3 25 25 30 23 25 36 39
FCGR1B 11 13 17 13 9 52 65
FAM72B 114 186 176 85 160 194 208
FAM72C 97 125 106 96 177 197 169
FAM72D 150 189 167 109 144 152 164
FCGR1A 9 19 12 16 14 18 44
MTMR11 61 52 68 125 53 131 186
RP11-126K1.2 103 77 118 87 73 184 153
OAZ3 19 11 19 12 15 22 15
RORC 131 63 126 126 74 115 295
AL450992.2 26 13 21 29 8 34 24
TCHH 9 18 13 12 15 12 32
S100A9 3 4 7 8 9 16 21
S100A2 227 90 226 401 82 471 306
MUC1 117 117 105 71 112 203 189
SEMA4A 251 192 218 226 83 269 129
IQGAP3 72 84 67 55 74 73 115
CRABP2 21 20 10 20 20 17 19
NTRK1 106 98 132 190 124 250 95
AIM2 1227 128 1325 1071 97 2331 472
CFAP45 56 69 26 28 69 40 76
CD244 13 1 3 3 2 3 1
HSPA6 4 272 13 121 590 8 239
FAM78B 14 14 30 18 21 80 17
RP11-276E17.2 11 22 12 9 26 14 14
ILDR2 38 45 36 51 67 72 62
SELP 7 6 13 17 15 14 16
GS1-279B7.2 183 266 86 200 404 142 364
PLA2G4A 18 2 36 27 2 45 3
RGS13 15 4 18 16 7 35 18
ASPM 1822 1873 2573 1648 1757 2178 2036
C1orf53 39 37 31 14 34 83 39
NR5A2 19 4 15 12 6 13 15
SHISA4 58 32 60 32 38 53 35
PPFIA4 84 249 22 73 351 58 326
CHIT1 3 10 2 6 14 10 12
LINC01353 47 100 28 65 159 60 126
LINC01136 9 14 8 10 9 14 15
GOLT1A 13 18 7 18 22 16 15
LEMD1 21 14 14 17 10 4 22
SLC45A3 12 3 16 14 7 28 7
FAM72A 70 77 105 80 95 139 120
DYRK3 100 33 129 78 22 146 78
IL10 80 3 283 321 5 352 13
CD34 10 12 7 7 26 15 26
LAMB3 76 43 38 44 38 129 208
G0S2 1109 968 817 291 472 1118 2397
HSD11B1 205 41 145 104 34 326 210
NEK2 394 589 593 287 655 478 614
DTL 758 434 992 610 353 1103 798
BATF3 5392 246 7254 5163 98 11419 892
HLX 2 0 2 7 1 16 8
SIPA1L2 58 7 24 38 7 67 38
